ตำบล,เทศบาล,ปีงบประมาณ,ประเภทงบ,หมวดหมู่,รายการบัญชี,หมายเหตุ,มูลค่า,หน่วย,ระดับรายละเอียด,หมายเหตุคุณภาพข้อมูล,ไฟล์ต้นฉบับ
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,,19867276.06,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,สินทรัพย์หมุนเวียนรวม,,34141016.1,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่หมุนเวียนรวม,,57958829.13,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,หนี้สินหมุนเวียนรวม,,520105.68,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,หนี้สินไม่หมุนเวียนรวม,,7025577.86,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,หนี้สินรวม,หนี้สินรวม,,7545683.54,บาท,total,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,ทุนสะสม,,84554161.69,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,สินทรัพย์รวม,สินทรัพย์รวม (คำนวณ = หมุนเวียน + ไม่หมุนเวียน),,92099845.23,บาท,total,ปิงโค้งเป็นข้อมูลยอดรวม ไม่มีรายการย่อย; total_assets 2567 ต้นฉบับพิมพ์ผิด แก้เป็นผลรวมจริงแล้ว,งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบกลาง (central_budget),,19187357.24,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบบุคลากร (personnel_budget),,20109632.44,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบดำเนินงาน (operating_budget),,20397420.32,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบลงทุน (investment_budget),,8242800.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบเงินอุดหนุน (subsidies_budget),,6062790.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,งบประมาณรวม,งบประมาณรวม (total_budget_baht),,74000000.0,บาท,total,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบกลาง (central_budget) / งบรวม,,25.9,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบบุคลากร (personnel_budget) / งบรวม,,27.2,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบดำเนินงาน (operating_budget) / งบรวม,,27.6,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบลงทุน (investment_budget) / งบรวม,,11.1,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบเงินอุดหนุน (subsidies_budget) / งบรวม,,8.2,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,สัดส่วนงบบุคลากร/รายจ่ายรวม,,33.5,ร้อยละ,indicator,"เกณฑ์เตือน: >40% = เสี่ยงสูง, >35% = เฝ้าระวัง",ตัวชี้วัดความเสี่ยงเงินรายปี.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,พึ่งพาเงินอุดหนุนรัฐ/รายได้รวม,,52.0,ร้อยละ,indicator,"เกณฑ์เตือน: >55% = เสี่ยงสูง, >45% = เฝ้าระวัง",ตัวชี้วัดความเสี่ยงเงินรายปี.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,อัตราเบิกจ่ายจริง/งบตั้ง (execution rate),,93.3,ร้อยละ,indicator,เกณฑ์เตือน: <85% = ผิดปกติ,ตัวชี้วัดความเสี่ยงเงินรายปี.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,Current ratio (สินทรัพย์หมุนเวียน/หนี้สินหมุนเวียน),,65.64,เท่า,indicator,เกณฑ์เตือน: <1.0x = เสี่ยงสภาพคล่อง,ตัวชี้วัดความเสี่ยงเงินรายปี.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,หนี้สิน/สินทรัพย์รวม,,8.2,ร้อยละ,indicator,เกณฑ์เตือน: >30% = เสี่ยงสูง,ตัวชี้วัดความเสี่ยงเงินรายปี.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,กำไรสุทธิ/รายได้รวม (surplus margin),,11.0,ร้อยละ,indicator,เกณฑ์เตือน: <0% = ขาดทุน,ตัวชี้วัดความเสี่ยงเงินรายปี.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,เงินเดือน/ค่าจ้างบุคลากร,,22132335.52,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,บำเหน็จบำนาญ,,117011.0,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าตอบแทน,,875062.5,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้สอย,,8590381.13,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าวัสดุ,,3137486.3,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าสาธารณูปโภค,,783837.3,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ต้นทุนขายและบริการ,,13135.0,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าเสื่อมราคา/ตัดจำหน่าย,,6066669.56,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,เงินอุดหนุนที่จ่าย (หน่วยงานรัฐ),,8549613.81,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,เงินอุดหนุน/บริจาคอื่น,,18264817.86,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,รายจ่ายอื่น,,476771.93,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่ายรวม,รายจ่ายรวม (total_expenses),,69007121.91,บาท,total,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,รวมค่าใช้จ่ายบุคลากร (เงินเดือน+บำนาญ+ค่าตอบแทน),,23124409.02,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,สรุปผล,กำไร(ขาดทุน)สุทธิ = รายได้รวม - รายจ่ายรวม - ดอกเบี้ย,,8527798.17,บาท,total,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ดอกเบี้ยจ่าย (finance_costs_interest),,155544.4,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายจ่าย.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,ภาษีจัดสรร,,36484497.28,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการขายและบริการ,,72501.0,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,เงินอุดหนุนจากรัฐบาล,,40390518.5,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,ภาษี/ค่าธรรมเนียม/ค่าปรับท้องถิ่น,,371868.82,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,รายได้เฉพาะกิจกรรม,,119000.76,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,รายได้อื่น,,252078.12,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้รวม,รายได้รวม (total_revenues),,77690464.48,บาท,total,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้รวม,"รายได้รวม (ตามรายงานต้นฉบับ, ใช้ตรวจสอบ)",,77690373.48,บาท,total,ยอดตรวจสอบจากรายงานต้นฉบับ,รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,สินทรัพย์ถาวร,อาคารและสิ่งปลูกสร้าง,,1097600.0,บาท,line_item,สินทรัพย์เพิ่มระหว่างปี (จากหมายเหตุประกอบงบ),สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,สินทรัพย์ถาวร,ครุภัณฑ์,,212268.5,บาท,line_item,สินทรัพย์เพิ่มระหว่างปี (จากหมายเหตุประกอบงบ),สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,สินทรัพย์ถาวร,ถนน,,4800800.0,บาท,line_item,สินทรัพย์เพิ่มระหว่างปี (จากหมายเหตุประกอบงบ),สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,สินทรัพย์ถาวร,สะพาน,,0.0,บาท,line_item,สินทรัพย์เพิ่มระหว่างปี (จากหมายเหตุประกอบงบ),สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,สินทรัพย์ถาวร,สินทรัพย์โครงสร้างพื้นฐานอื่น,,2764500.0,บาท,line_item,สินทรัพย์เพิ่มระหว่างปี (จากหมายเหตุประกอบงบ),สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,สินทรัพย์ถาวร,รวมสินทรัพย์เพิ่มขึ้นทั้งหมด,,8875168.5,บาท,total,สินทรัพย์เพิ่มระหว่างปี (จากหมายเหตุประกอบงบ),สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,สินทรัพย์ถาวร,งบลงทุนที่ประกาศไว้ (investment_budget_baht),,8242800.0,บาท,reference,สินทรัพย์เพิ่มระหว่างปี (จากหมายเหตุประกอบงบ),สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,ตัวชี้วัด,อัตราสินทรัพย์ที่เพิ่มขึ้นจริง / งบลงทุนที่ตั้งไว้,,107.7,ร้อยละ,indicator,สินทรัพย์เพิ่มจริง/งบลงทุนที่ตั้งไว้,สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,,23635934.38,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,สินทรัพย์หมุนเวียนรวม,,38050528.04,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่หมุนเวียนรวม,,63560585.97,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,หนี้สินหมุนเวียนรวม,,2068733.4,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,หนี้สินไม่หมุนเวียนรวม,,4237749.92,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,หนี้สินรวม,หนี้สินรวม,,6306483.32,บาท,total,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,ทุนสะสม,,95304630.69,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,สินทรัพย์รวม,สินทรัพย์รวม (คำนวณ = หมุนเวียน + ไม่หมุนเวียน),,101611114.01,บาท,total,ปิงโค้งเป็นข้อมูลยอดรวม ไม่มีรายการย่อย; total_assets 2567 ต้นฉบับพิมพ์ผิด แก้เป็นผลรวมจริงแล้ว,งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบกลาง (central_budget),,20450973.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบบุคลากร (personnel_budget),,23809176.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบดำเนินงาน (operating_budget),,17543351.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบลงทุน (investment_budget),,7704700.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบเงินอุดหนุน (subsidies_budget),,6491800.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,งบประมาณรวม,งบประมาณรวม (total_budget_baht),,76000000.0,บาท,total,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบกลาง (central_budget) / งบรวม,,26.9,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบบุคลากร (personnel_budget) / งบรวม,,31.3,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบดำเนินงาน (operating_budget) / งบรวม,,23.1,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบลงทุน (investment_budget) / งบรวม,,10.1,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบเงินอุดหนุน (subsidies_budget) / งบรวม,,8.5,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,ตัวชี้วัด,อัตราเติบโตงบรวม YoY,,2.7,ร้อยละ,indicator,คำนวณจากงบประมาณรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,สัดส่วนงบบุคลากร/รายจ่ายรวม,,35.2,ร้อยละ,indicator,"เกณฑ์เตือน: >40% = เสี่ยงสูง, >35% = เฝ้าระวัง",ตัวชี้วัดความเสี่ยงเงินรายปี.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,พึ่งพาเงินอุดหนุนรัฐ/รายได้รวม,,50.0,ร้อยละ,indicator,"เกณฑ์เตือน: >55% = เสี่ยงสูง, >45% = เฝ้าระวัง",ตัวชี้วัดความเสี่ยงเงินรายปี.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,อัตราเบิกจ่ายจริง/งบตั้ง (execution rate),,95.7,ร้อยละ,indicator,เกณฑ์เตือน: <85% = ผิดปกติ,ตัวชี้วัดความเสี่ยงเงินรายปี.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,Current ratio (สินทรัพย์หมุนเวียน/หนี้สินหมุนเวียน),,18.39,เท่า,indicator,เกณฑ์เตือน: <1.0x = เสี่ยงสภาพคล่อง,ตัวชี้วัดความเสี่ยงเงินรายปี.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,ตัวชี้วัดความเสี่ยง,ตัวชี้วัด,หนี้สิน/สินทรัพย์รวม,,6.2,ร้อยละ,indicator,เกณฑ์เตือน: >30% = เสี่ยงสูง,ตัวชี้วัดความเสี่ยงเงินรายปี.csv
