ปีงบประมาณ,เลขที่โครงการ,ชื่อโครงการ,ประเภทโครงการ,วิธีการจัดหา,สถานะโครงการ,งบประมาณโครงการ,ราคากลางโครงการ,วงเงินสัญญารวม,สัญญาต่อราคากลาง,ผู้รับจ้าง,ตรวจพบความเสี่ยงทุจริต,ประเด็นเสี่ยงทุจริต
2566,66069309678,จ้างโครงการก่อสร้างรางระบายน้ำรูปตัวยู พร้อมฝาปิด (หย่อมบ้านก๊อตป่าบง) บ้านปางมะกง หมู่ที่ 11 โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เฉพาะเจาะจง,ระหว่างดำเนินการ,495430,494596.35,494000,0.9988,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,TRUE,ส่อหั่นสัญญาแบ่งช่วง หรือหลีกเลี่ยงการประมูล
2566,66069032917,จ้างโครงการก่อสร้างผนังกั้นน้ำ บ้านแม่ป๋าม หมู่ที่ 3 (ยาว 12.00 เมตร) โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 66069032917),จ้างทำของ/จ้างเหมาบริการ,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,100553,100551.75,100000,0.9945,นายเกษม กันทะวัง,TRUE,เสนอราคาใกล้ราคากลาง; จงใจเสนอราคาสูง
2566,66027244288,จ้างซ่อมแซมถนนลูกรังเป็นช่วงๆ พร้อมปรับเกลี่ยถนน หย่อมบ้านถ้ำแกลบ บ้านห้วยลึก หมู่ที่ 7 จำนวน 4 เส้น โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 66027244288),จ้างทำของ/จ้างเหมาบริการ,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,88206,88206,88206,1,นายณัฐพล เลาหาง,TRUE,เสนอราคาต่ำกว่าราคากลางผิดปกติ
2566,65107078438,จ้างเหมาประกอบอาหารกลางวัน (ปรุงสำเร็จ) จำนวนนักเรียน 27 คน อัตราคนละ 21 บาท จำนวน 151 วัน (ตั้งแต่วันที่ 1 ตุลาคม 2565 - วันที่ 15 พฤษภาคม 2566) ศูนย์พัฒนาเด็กเล็กบ้านหนองเต่า โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 65107078438),เช่า,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,85617,85617,85617,1,นายสุทธิพงศ์ วิทยรุจ,TRUE,จัดซื้อจัดจ้างแบบเฉพาะเจาะจงท้ายปีงบประมาณ
2566,66099148115,ซื้อสื่อการเรียนการสอน (รายหัว) จำนวน ๓๒ รายการ ศูนย์พัฒนาเด็กเล็กบ้านห้วยจะค่าน ประจำปีงบประมาณ ๒๕๖๖ โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 66099148115),จ้างก่อสร้าง,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,74562,74562,74562,1,ซีซีอาร์ สปอร์ต กรุ๊ป,TRUE,จัดซื้อจัดจ้างแบบเฉพาะเจาะจงท้ายปีงบประมาณ
2566,66089171666,ซื้อวัสดุสำนักงาน จำนวน 27 รายการ (ฝ่ายปกครอง) โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 66089171666),จ้างก่อสร้าง,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,19875,19875,19875,1,นานาเชียงดาว,TRUE,จัดซื้อจัดจ้างแบบเฉพาะเจาะจงท้ายปีงบประมาณ
2566,66099365134,ซื้อจัดซื้อวัสดุก่อสร้างเพื่อใช้ในการก่อสร้าง เทรางระบายน้ำหลังห้องน้ำ (กองช่าง) จำนวน 2 รายการ โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 66099365134),จ้างก่อสร้าง,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,19756,19756,19756,1,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,TRUE,จัดซื้อจัดจ้างแบบเฉพาะเจาะจงท้ายปีงบประมาณ
2566,66099137646,จ้างทำสติกเกอร์เครื่องหมายและแถบสะท้อนแสง รถบริการแพทย์ฉุกเฉิน (EMS (รถกู้ชีพ-รถกู้ภัย เขต 1 และ เขต 2) โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 66099137646),เช่า,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,19600,19600,19600,1,ร้านเอ็มสติกเกอร์,TRUE,จัดซื้อจัดจ้างแบบเฉพาะเจาะจงท้ายปีงบประมาณ
2566,65117446269,ซื้อวัสดุยานพาหนะและขนส่ง จำนวน 3 รายการ (รถบรรทุกน้ำเอนกประสงค์ หมายเลขทะเบียน ผห 6098 หมายเลขครุภัณฑ์ 004 59 0002) โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 65117446269),จ้างก่อสร้าง,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,19600,19600,19600,1,ร้าน อู่ 3 ต.กลการ 3 ต.อะไหล่ยนต์,TRUE,เสนอราคาต่ำกว่าราคากลางผิดปกติ
2566,66079529545,ซื้อวัสดุ จำนวน ๔ รายการ ตามโครงการส่งเสริมและบำรุงพระพุทธศาสนา ประจำปีงบประมาณ ๒๕๖๖ โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 66079529545),จ้างก่อสร้าง,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,18842,18842,18842,1,อีดิท เลิฟ,TRUE,จัดซื้อจัดจ้างแบบเฉพาะเจาะจงท้ายปีงบประมาณ