project_id,project_name,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status
68049059897,จ้างโครงการปรับปรุงระบบประปาหมู่บ้าน (งานติดตั้งถังแชมเปญ) บ้านโค้งงาม หมู่ที่ 7 โดยวิธีคัดเลือก,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,คัดเลือก,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,777000,799000,768000,2568,13 มิ.ย. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0623560000399,ห้างหุ้นส่วนจำกัด ท.การช่าง  2017,15/2568,13 มิ.ย. 68,11 ต.ค. 68,768000,ระหว่างดำเนินการ
67119098693,ประกวดราคาจ้างก่อสร้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก รหัสสายทาง ชร.ถ.116-45 ซอยบ่อขยะ หมู่ที่ 2 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,23 ธ.ค. 67,796000,796000,680000,2568,25 ก.พ. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573554002297,ห้างหุ้นส่วนจำกัด บวรภพ บิลดิ้งโฮม,6/2568,25 ก.พ. 68,26 พ.ค. 68,680000,ระหว่างดำเนินการ
67119099700,ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงระบบประปาหมู่บ้าน บ้านทุ่งฟ้าฮ่าม หมู่ที่ ๕ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,28 ม.ค. 68,823000,823000,678900,2568,12 มี.ค. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573552001722,ห้างหุ้นส่วนจำกัด หงาวซีเมนต์บล็อก,8/2568,12 มี.ค. 68,10 มิ.ย. 68,678900,ระหว่างดำเนินการ
68019387677,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก รหัสสายทางหลวงท้องถิ่น ชร.ถ.๑๑๖-๐๓ ช่วงหมู่ที่ ๕ เชื่อม หมู่ที่ ๗ ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,499200,497500,496500,2568,22 ม.ค. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0575566001039,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,2/2568,22 ม.ค. 68,23 มี.ค. 68,496500,ระหว่างดำเนินการ
68019384895,ซื้อชุดไฟฟ้าส่องสว่างระบบโซล่าเซลล์ ภายในตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,493000,493000,488400,2568,22 ม.ค. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,,0575566001039,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,3/2568,22 ม.ค. 68,23 มี.ค. 68,488400,ระหว่างดำเนินการ
68059162940,จ้างก่อสร้างถนนคอนกรีตเสริมเหล็ก ซอย 6 บ้านสันต้นเปา หมู่ที่ 6 โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,482500,497000,482000,2568,14 พ.ค. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0575566001039,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,9/2568,14 พ.ค. 68,13 ก.ค. 68,482000,ระหว่างดำเนินการ
68019366877,จ้างโครงการก่อสร้างรางระบายน้ำคอนกรีตเสริมเหล็ก ซอย ๓ บ้านดอยจัน หมู่ที่ ๑ โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,480000,480000,479000,2568,22 ม.ค. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0575566001039,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,1/2568,22 ม.ค. 68,22 เม.ย. 68,479000,ระหว่างดำเนินการ
68089284849,จ้างก่อสร้างถนนคอนกรีตเสริมเหล็ก  สายเลียบหนองแกลบ (รหัสสายทาง ชร.ถ.๑๑๖-๐๔) โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,474100,474100,474100,2568,18 ส.ค. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0575566001039,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,19/2568,18 ส.ค. 68,16 พ.ย. 68,474100,ระหว่างดำเนินการ
67119096755,ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงระบบประปาหมู่บ้าน (งานวางท่อส่งน้ำประปา) บ้านโค้งงาม หมู่ที่ 7 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,23 ธ.ค. 67,539200,539200,458000,2568,21 ก.พ. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573552001722,ห้างหุ้นส่วนจำกัด หงาวซีเมนต์บล็อก,5/2568,21 ก.พ. 68,22 พ.ค. 68,458000,ระหว่างดำเนินการ
68089304555,จ้างก่อสร้างถนนคอนกรีตเสริมเหล็กทางเข้าโรงเรียนศาสตร์พระราชา  หมู่ที่ 3 โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,447000,447000,447000,2568,19 ส.ค. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573566002581,ห้างหุ้นส่วนจำกัด เชาวนพาณิชย์ 2021,21/2568,19 ส.ค. 68,17 พ.ย. 68,447000,ระหว่างดำเนินการ
68019397522,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก ซอย ๓ หมู่ที่ ๗ ตำบลโยนก อำเภอเชียงแสน จังหวัดเชียงราย  โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,437600,436800,435800,2568,27 ม.ค. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573559002805,ห้างหุ้นส่วนจำกัด เอคซ์เพิร์ท ดีไซน์,3/2568,27 ม.ค. 68,28 มี.ค. 68,435800,ระหว่างดำเนินการ
68059154951,จ้างก่อสร้างรางระบายน้ำคอนกรีตเสริมเหล็กเข้าพื้นที่การเกษตร บ้านโค้งงาม หมู่ที่ 7 โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,328000,328000,327000,2568,14 พ.ค. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0575566001039,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,10/2568,14 พ.ค. 68,12 ส.ค. 68,327000,ระหว่างดำเนินการ
68099146425,จ้างวางท่อระบายน้ำคอนกรีตเสริมเหล็ก สามแยกท้ายหมู่บ้าน บ้านโค้งงาม หมู่ที่ 7 โดยวิธีเฉพาะเจาะจง โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,40000,40000,40000,2568,11 ก.ย. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,,110370066xxxx,นายชนธวัช วงศ์ษา,191/2568,11 ก.ย. 68,18 ก.ย. 68,40000,ระหว่างดำเนินการ
67119096755,ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงระบบประปาหมู่บ้าน (งานวางท่อส่งน้ำประปา) บ้านโค้งงาม หมู่ที่ 7 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,23 ธ.ค. 67,539200,539200,458000,2568,21 ก.พ. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573552001722,ห้างหุ้นส่วนจำกัด หงาวซีเมนต์บล็อก,5/2568,21 ก.พ. 68,22 พ.ค. 68,458000,ระหว่างดำเนินการ
67119089672,ประกวดราคาจ้างก่อสร้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก รหัสสายทาง ชร.ถ.116-100 ซอย 12 (สายดอยหนองคัน) หมู่ที่ 4 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,17 ธ.ค. 67,1405300,1516198.46,1210000,2568,25 ก.พ. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573546005789,ห้างหุ้นส่วนจำกัด ศรีวงค์วรรณ์,7/2568,25 ก.พ. 68,26 พ.ค. 68,1210000,ระหว่างดำเนินการ
67119279814,ประกวดราคาจ้างก่อสร้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก เข้าพื้นที่การเกษตรนาปงกลาง หมู่ที่ 9 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,17 ธ.ค. 67,1116500,1163833.54,940000,2568,6 ก.พ. 68,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573546005789,ห้างหุ้นส่วนจำกัด ศรีวงค์วรรณ์,4/2568,6 ก.พ. 68,7 พ.ค. 68,940000,ระหว่างดำเนินการ
